image,row,field,gt,pred,gt_norm,pred_norm,edit_distance,cer,wer,exact,error
passport_0001_seedream.png,1,lastname,СОКОЛОВА,СОКОЛОВА,СОКОЛОВА,СОКОЛОВА,0,0.000000,0.000000,1,
passport_0001_seedream.png,1,firstname,ВАРЯ,ВАРЯ,ВАРЯ,ВАРЯ,0,0.000000,0.000000,1,
passport_0001_seedream.png,1,middlename,ЕВГЕНЬЕВНА,ЕВГЕНЬЕВНА,ЕВГЕНЬЕВНА,ЕВГЕНЬЕВНА,0,0.000000,0.000000,1,
passport_0001_seedream.png,1,sex,ЖЕН.,Ж,F,F,0,0.000000,0.000000,1,
passport_0001_seedream.png,1,birth_date,05.04.1970,05.04.1970,05041970,05041970,0,0.000000,0.000000,1,
passport_0001_seedream.png,1,birth_place,Г. ЕКАТЕРИНБУРГ,Г ЕКАТЕРИНБУРГ,Г. ЕКАТЕРИНБУРГ,Г ЕКАТЕРИНБУРГ,1,0.066667,0.066667,0,
passport_0001_seedream.png,1,date_of_issue,14.04.2017,14.04.2017,14042017,14042017,0,0.000000,0.000000,1,
passport_0001_seedream.png,1,department_code,784-433,784-433,784433,784433,0,0.000000,0.000000,1,
passport_0001_seedream.png,1,passport_issued_full,ПВС МВД РОССИИ ПО Г. САНКТ-ПЕТЕРБУРГУ И ЛЕН. ОБЛ. ПО РАЙОНУ КРАСНОГВАРДЕЙСКИЙ,ПВС МВД РОССИИ ЛО Г. САНКТ-ЛЕТЕРБУРГУ ЯИ ЛЕН ОБЛ. ПО РАЙОНУ КРАСНОГВАРДЕЙСКИЙ,ПВС МВД РОССИИ ПО Г. САНКТ-ПЕТЕРБУРГУ И ЛЕН. ОБЛ. ПО РАЙОНУ КРАСНОГВАРДЕЙСКИЙ,ПВС МВД РОССИИ ЛО Г. САНКТ-ЛЕТЕРБУРГУ ЯИ ЛЕН ОБЛ. ПО РАЙОНУ КРАСНОГВАРДЕЙСКИЙ,4,0.051948,0.051948,0,
passport_0001_seedream.png,1,series_and_number,14 13 198246,14 13 198246,1413198246,1413198246,0,0.000000,0.000000,1,
passport_0002_seedream.png,2,lastname,ЗАГОРОДНИЙ,ЗАГОРОДНИЙ,ЗАГОРОДНИЙ,ЗАГОРОДНИЙ,0,0.000000,0.000000,1,
passport_0002_seedream.png,2,firstname,ГАВРИИЛ,ГАВРИИЛ,ГАВРИИЛ,ГАВРИИЛ,0,0.000000,0.000000,1,
passport_0002_seedream.png,2,middlename,АНДРЕЕВИЧ,АНДРЕЕВИЧ,АНДРЕЕВИЧ,АНДРЕЕВИЧ,0,0.000000,0.000000,1,
passport_0002_seedream.png,2,sex,МУЖ.,М,M,M,0,0.000000,0.000000,1,
passport_0002_seedream.png,2,birth_date,23.04.1990,23.04.1990,23041990,23041990,0,0.000000,0.000000,1,
passport_0002_seedream.png,2,birth_place,Г. СОЧИ,Г СОЧИ,Г. СОЧИ,Г СОЧИ,1,0.142857,0.142857,0,
passport_0002_seedream.png,2,date_of_issue,15.11.2018,15.11.2018,15112018,15112018,0,0.000000,0.000000,1,
passport_0002_seedream.png,2,department_code,050-460,050-460,050460,050460,0,0.000000,0.000000,1,
passport_0002_seedream.png,2,passport_issued_full,ОТДЕЛ УФМС РОССИИ ПО РЕСП. ДАГЕСТАН В Г. БУЙНАКСК,ОТДЕЛ УФМС РОССИИ ТПО РЕСП ДАГЕСТАН В Г БУЙНАКСК,ОТДЕЛ УФМС РОССИИ ПО РЕСП. ДАГЕСТАН В Г. БУЙНАКСК,ОТДЕЛ УФМС РОССИИ ТПО РЕСП ДАГЕСТАН В Г БУЙНАКСК,3,0.061224,0.061224,0,
passport_0002_seedream.png,2,series_and_number,85 45 948749,18 54 519487,8545948749,1854519487,4,0.400000,0.400000,0,
passport_0004_seedream.png,4,lastname,БАРСУКОВ,БАРСУКОВ,БАРСУКОВ,БАРСУКОВ,0,0.000000,0.000000,1,
passport_0004_seedream.png,4,firstname,ГАВРИИЛ,ГАВРИИЛ,ГАВРИИЛ,ГАВРИИЛ,0,0.000000,0.000000,1,
passport_0004_seedream.png,4,middlename,ВАЛЕРЬЕВИЧ,ВАЛЕРЬЕВИЧ,ВАЛЕРЬЕВИЧ,ВАЛЕРЬЕВИЧ,0,0.000000,0.000000,1,
passport_0004_seedream.png,4,sex,МУЖ.,М,M,M,0,0.000000,0.000000,1,
passport_0004_seedream.png,4,birth_date,15.12.1957,15.12.1957,15121957,15121957,0,0.000000,0.000000,1,
passport_0004_seedream.png,4,birth_place,Г. ЕКАТЕРИНБУРГ,И ЕКАТЕРИНБУРГ,Г. ЕКАТЕРИНБУРГ,И ЕКАТЕРИНБУРГ,2,0.133333,0.133333,0,
passport_0004_seedream.png,4,date_of_issue,20.01.2020,20.01.2020,20012020,20012020,0,0.000000,0.000000,1,
passport_0004_seedream.png,4,department_code,380-566,380-566,380566,380566,0,0.000000,0.000000,1,
